НТД.ID,НТД_1.ID,Дата_регистрации,Корреспондент,Часть_проекта,Ndog,Наименование документа,krat_neim,Obekt,Блок,Стадия_проекта,NAME,Шифр (обозначение документа),Инв_№разраб_пр
23617,23642,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Чертеж,43-238.215.002.ТС01,138070во
23617,23643,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Спецификация оборудования (в составе документации на автоматизированные системы),43-238.215.002.ТС01.С,138071во
23617,23644,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Чертеж,43-238.216.003.ГР01,"138102вк, изм.2ГАН"
23617,23645,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Спецификация оборудования (в составе документации на автоматизированные системы),43-238.216.003.ГР01.С,138103вк
23617,23646,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Чертеж,43-238.216.003.ГР01.010000,138104вк
23617,23647,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Чертеж,43-238.216.003.ГР01.030000,138105вк
23617,23648,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Чертеж,43-238.216.003.ГР01.020000,138106вк
23617,23649,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Чертеж,43-238.216.003.ГР01.04000,"138107вк, изм.1ГАН"
23650,23651,07.05.2012,ОМиР,,,"Исполнительная документация по монтажу/перемонтажу опор на трубопроводах систем, важных для безопасности",,РО,2,И,Исполнительная документация,,
23652,23653,07.05.2012,ОМиР,ВК,,Исполнительная документация по масломазутодизельному хозяйству. Автоматическая установка пенного пожаротушения,,ММДХ,1,И,Исполнительная документация,,
23652,23654,07.05.2012,ОМиР,ВК,,Исполнительная документация по масломазутодизельному хозяйству. Автоматическая установка пенного пожаротушения,,ММДХ,1,И,Чертеж,43-208.216.001.ПТ01,"137659вк, изм.1"
23652,23655,07.05.2012,ОМиР,ВК,,Исполнительная документация по масломазутодизельному хозяйству. Автоматическая установка пенного пожаротушения,,ММДХ,1,И,Спецификация оборудования (в составе документации на автоматизированные системы),43-208.216.001.ПТ01.С,"137660вк, изм.2ГАН"
23652,23656,07.05.2012,ОМиР,ВК,,Исполнительная документация по масломазутодизельному хозяйству. Автоматическая установка пенного пожаротушения,,ММДХ,1,И,Чертеж,43-208.207.001.АП01,"140026п, изм.1"
23652,23657,07.05.2012,ОМиР,ВК,,Исполнительная документация по масломазутодизельному хозяйству. Автоматическая установка пенного пожаротушения,,ММДХ,1,И,Спецификация оборудования (в составе документации на автоматизированные системы),43-208.207.001.АП01.С,"140027п, изм.1"
